link,title,rating,price
71P9LFklaDL._AC_UY218_.jpg,The Stranger: The Graphic Novel,4.3,11399.0
91lidaN2+OL._AC_UY218_.jpg,Fables: The Deluxe Edition Book Thirteen,4.9,9314.0
61YEdDxPiFL._AC_UY218_.jpg,As We Think: James Allen's Guide to the Power of Thought (PhilosoComics),4.5,3874.0
91nr+M7WEcL._AC_UY218_.jpg,The Beatles Yellow Submarine,4.9,11652.0
71ItLTkyNfL._AC_UY218_.jpg,Uncle Scrooge and Donald Duck in Les Misérables and War and Peace (Walt Disney's Uncle Scrooge), ,14542.0
71PRpMugdFL._AC_UY218_.jpg,Kingdom Come: Deliverance, ,8238.0
91I7ZRw1uhL._AC_UY218_.jpg,Robin Vol. 4: Turning Point,4.6,10667.0
81gKgaSFSvL._AC_UY218_.jpg,Pantheon,4.8,9014.0
91+eZagvyCL._AC_UY218_.jpg,Batman '66 Meets the Green Hornet,4.8,6706.0
81FhFkuVnyL._AC_UY218_.jpg,"The Eye of the World: The Graphic Novel, Volume Six (Wheel of Time: The Graphic Novel, 6)",4.8,10662.0
91KPIq+DMKL._AC_UY218_.jpg,Buffy The Vampire Slayer Season 8 Library Edition Volume 1 HC,4.8, 
91i5Qg0YFNL._AC_UY218_.jpg,Life is Strange Vol. 2: Waves (Graphic Novel),4.9,8238.0
81KUFMHWw2L._AC_UY218_.jpg,Heart of Darkness,4.4,5673.0
71mhG1HCfOL._AC_UY218_.jpg,Hell to Pay: Volume 1 - The Pact, ,8723.0
91ijixcFxsL._AC_UY218_.jpg,Fables: The Deluxe Edition Book Seven,4.8,1934.0
91JggNgtCML._AC_UY218_.jpg,Rebelión en la granja (Novela gráfica) / Animal Farm: The Graphic Novel (Rebelión En La Granja/ Animal Farm) (Spanish Edition),4.8,8219.0
717YR2ei9WL._AC_UY218_.jpg,Jim Henson's Labyrinth: Coronation Vol. 2 (2),4.9,12117.0
91+a17u0PuL._AC_UY218_.jpg,Greek Mythology Explained: A Deeper Look at Classical Greek Lore and Myth,4.5,0.0
91mr9GCkzOL._AC_UY218_.jpg,Moebius Library: Inside Moebius Part 2,4.6,17863.0
817IMN7o8AL._AC_UY218_.jpg,The 9/11 Report: A Graphic Adaptation,4.6,6056.0
71vz1TkiHtL._AC_UY218_.jpg,A Tale of Renown: Volume One,4.6,8238.0
A1mW1UWhJ6L._AC_UY218_.jpg,STAR WARS: THE ORIGINAL TRILOGY - THE MOVIE ADAPTATIONS,4.5,13572.0
91rGZFe5x8L._AC_UY218_.jpg,The Jungle Book: The Graphic Novel (Campfire Graphic Novels),4.4,6298.0
91pfTofSg-L._AC_UY218_.jpg,Promethea: Collected,4.6,4844.0
71ZXwxRDNsL._AC_UY218_.jpg,Fables Vol. 2: Animal Farm,4.9,5333.0
91NLzyRWGTL._AC_UY218_.jpg,Fables Vol. 3: Storybook Love,4.7,6298.0
81QHhe8nccL._AC_UY218_.jpg,Transformers: Sins of the Wreckers,4.7,19391.0
61rpU5M6SuL._AC_UY218_.jpg,The Last of the Mohicans (Classics Illustrated),4.8,4824.0
91TyCXMjISL._AC_UY218_.jpg,"Fables: The Deluxe Edition Book Twelve (Fables, 12)",4.9,9208.0
811PdePDTFL._AC_UY218_.jpg,What Unites Us: The Graphic Novel (World Citizen Comics),4.8,7898.0
915B4QYcipL._AC_UY218_.jpg,Fables: The Deluxe Edition Book Five,4.9,1934.0
91tBtCEoV1L._AC_UY218_.jpg,The Three Musketeers (Classics Illustrated),4.7,5169.0
61YTCzXLf4L._AC_UY218_.jpg,A Bintel Brief: Love and Longing in Old New York,4.2,9693.0
91ohByV5XaL._AC_UY218_.jpg,"Frankenstein Alive, Alive: The Complete Collection",4.6,12117.0
717QdLVJwIL._AC_UY218_.jpg,Don Quijote de la Mancha (Ariel Juvenil Ilustrada) (Spanish Edition),4.6,3879.0
91d9HsV+OnL._AC_UY218_.jpg,OZ: THE COMPLETE COLLECTION - OZMA/DOROTHY & THE WIZARD,4.9,7360.0
91nDYGOXH+L._AC_UY218_.jpg,Superman: The Golden Age Sundays 1943-1946 (Superman Golden Age Sundays),4.7,17121.0
91wPADzYdYL._AC_UY218_.jpg,"Shirley Jackson's ""The Lottery"": The Authorized Graphic Adaptation",4.3,8728.0
A1uHViD+NYL._AC_UY218_.jpg,Angel and Faith: Season Ten Volume 2 & Lost and Found (Angel & Faith),4.4, 
81nh+XGINfL._AC_UY218_.jpg,Klaus: How Santa Claus Began,4.7,7171.0
A14Spr4pPoL._AC_UY218_.jpg,Fables Vol. 7: Arabian Nights (and Days),4.7,3864.0
91E2mk9OkCL._AC_UY218_.jpg,Robin Hood (Classics Illustrated),4.6,4824.0
91bsMGVapML._AC_UY218_.jpg,Fables: The Deluxe Edition Book Four,4.7,1934.0
71wqBuxv8JL._AC_UY218_.jpg,Richard Stark's Parker: The Hunter,4.5,8219.0
91oxNeHt2ML._AC_UY218_.jpg,Buffy Omnibus: Tales (Buffy the Vampire Slayer),4.7,9693.0
91GmPW0E4aL._AC_UY218_.jpg,1984 (novela gráfica) / 1984 (Graphic Novel) (Spanish Edition),4.7,10643.0
91L+qJI7MmL._AC_UY218_.jpg,After the Rain,4.4,4558.0
51JQco6WhQL._AC_UY218_.jpg,Dark Tower: The Gunslinger Born,4.7,12723.0
81E2oeUjh2L._AC_UY218_.jpg,Fahrenheit 451 (Spanish Edition),4.7,7249.0
A1v6X3I0o8L._AC_UY218_.jpg,The Michael Moorcock Library: The Chronicles of Corum Vol. 1: The Knight of Swords,4.7,12117.0
91XHwMqE2wL._AC_UY218_.jpg,My Brilliant Friend: The Graphic Novel: Based on the novel by Elena Ferrante, ,12607.0
91bK1wP9lmL._AC_UY218_.jpg,Buffy: Season Ten Volume 3 Love Dares You (Buffy the Vampire Slayer),4.7, 
81anHuRnhTL._AC_UY218_.jpg,Fables Vol. 4: March of the Wooden Soldiers (Fables (Graphic Novels)),4.8,0.0
91rTm0B7j4L._AC_UY218_.jpg,Don Quixote of La Mancha: (in Spanglish),4.1,8219.0
91gvFLuRa1L._AC_UY218_.jpg,Mutiny on the Bounty (Classics Illustrated),4.7,4824.0
81VABYU3GwL._AC_UY218_.jpg,The Unwritten Vol. 11: Apocalypse,4.5,7433.0
71JJ55MbscL._AC_UY218_.jpg,Little Women: The March Sisters,4.2,8238.0
